id,model_name,size,brand_id
1,Mazda2,S,1
2,CX-3,M,1
3,Mazda3,M,1
4,Mazda6,M,1
5,CX-30,M,1
6,CX-5,M,1
7,CX-8,L,1
8,BT-50,L,1
9,GS8,,2
10,M8,L,2
11,M6 Pro,,2
12,XC40,M,3
13,XC60,M,3
14,XC90,L,3
15,V90,M,3
16,V60 Cross Country,M,3
17,S90,M,3
18,Fadil,S,4
19,Lux A2.0,M,4
20,Lux SA2.0,M,4
21,President,L,4
22,VF e34,M,4
23,VF 8,M,4
24,VF 5,M,4
25,VF 9,L,4
26,VF 6,M,4
27,VF 7,M,4
28,VF 3,S,4
29,H6,,5
30,Karoq,,6
31,Kodiaq,,6
32,1500,L,7
33,DBX,L,8
34,Lynk & Co 09,L,9
35,Lynk & Co 06,M,9
36,Lynk & Co 01,M,9
37,Lynk & Co 05,M,9
38,Lynk & Co 03,M,9
39,Y Plus,,10
40,ES,,10
41,718,S,11
42,911,M,11
43,Taycan,M,11
44,Panamera,M,11
45,Macan,M,11
46,Cayenne,L,11
47,Macan EV,M,11
48,Series 5,M,12
49,Series 7,L,12
50,X1,S,12
51,X3,M,12
52,X4,M,12
53,X6,M,12
54,Z4 Roadster,S,12
55,Series 3,M,12
56,X5,M,12
57,X7,L,12
58,Series 4,M,12
59,i7,L,12
60,Series 8,L,12
61,iX3,M,12
62,i4,M,12
63,XM,L,12
64,A-class,M,13
65,C-Class,M,13
66,E-Class,M,13
67,S-Class,L,13
68,GLC,M,13
69,GLB,M,13
70,GLS,L,13
71,G-Class,L,13
72,GT-Coupe,L,13
73,V-Class,L,13
74,GLE,L,13
75,GLA,M,13
76,EQS,M,13
77,EQS SUV,L,13
78,EQB,M,13
79,EQE SUV,L,13
80,AMG SL,M,13
81,Maybach EQS SUV,L,13
82,C5,,14
83,2008,M,15
84,3008,M,15
85,5008,M,15
86,Traveller,L,15
87,408,M,15
88,Polo,S,16
89,Tiguan,M,16
90,Passat,M,16
91,T-Cross,M,16
92,Touareg,M,16
93,Virtus,M,16
94,Viloran,L,16
95,Teramont X,L,16
96,Teramont,L,16
97,mu-X,M,17
98,D-Max,L,17
99,A4,M,18
100,Q2,M,18
101,Q3,M,18
102,Q5,M,18
103,Q7,M,18
104,Q8,M,18
105,A8L,L,18
106,e-tron GT,M,18
107,Q8 e-tron,L,18
108,A6,M,18
109,A7,M,18
110,XE,M,19
111,XF,M,19
112,F-Pace,M,19
113,E-Pace,M,19
114,F-Type,M,19
115,ZS,M,20
116,HS,M,20
117,MG5,M,20
118,RX5,M,20
119,MG4 EV,M,20
120,MG7,M,20
121,Cyberster,M,20
122,7X-E,M,21
123,7X,M,21
124,Navara,L,22
125,Almera,M,22
126,Kicks,M,22
127,E-HS9,M,23
128,H9,M,23
129,Forester,M,24
130,Outback,M,24
131,BR-Z,S,24
132,WRX,M,24
133,Crosstrek,M,24
134,3 Door,M,25
135,5 Door,M,25
136,Countryman,M,25
137,JCW,M,25
138,EcoSport,M,26
139,Everest,M,26
140,Ranger,M,26
141,Explorer,M,26
142,Territory,M,26
143,Ranger Raptor,M,26
144,IS,S,27
145,LS,M,27
146,NX,M,27
147,RX,M,27
148,LX,M,27
149,LM,M,27
150,GX,M,27
151,Wrangler,M,28
152,Gladiator,M,28
153,Grand Cherokee L,M,28
154,Atto 3,M,29
155,Seal,M,29
156,Dolphin,M,29
157,M6,M,29
158,Han,M,29
159,City,M,30
160,HR-V,M,30
161,CR-V,M,30
162,Accord,M,30
163,Brio,M,30
164,Civic,M,30
165,Civic Type R,M,30
166,BR-V,M,30
167,Flying Spur,M,31
168,Bentayga,M,31
169,Continental,M,31
170,Levante,M,32
171,Ghibli,,32
172,Quattroporte,M,32
173,Grecale,M,32
174,GranTurismo,M,32
175,Attrage,M,33
176,Outlander,M,33
177,Triton,M,33
178,Pajero Sport,M,33
179,Xpander,M,33
180,Xforce,M,33
181,i10,S,34
182,Accent,M,34
183,Kona,M,34
184,Elantra,M,34
185,Tucson,M,34
186,Santa Fe,M,34
187,Creta,M,34
188,Stargazer,M,34
189,Ioniq 5,M,34
190,Custin,M,34
191,Palisade,M,34
192,Venue,M,34
193,Hongguang Mini EV,S,35
194,Bingo,M,35
195,Wigo,M,36
196,Vios,M,36
197,Corolla Altis,M,36
198,Camry,M,36
199,Rush,M,36
200,Avanza,M,36
201,Innova,M,36
202,Fortuner,M,36
203,Granvia,M,36
204,Land Cruiser LC300,L,36
205,Land Cruiser Prado,L,36
206,Corolla Cross,M,36
207,Hilux,L,36
208,Alphard,L,36
209,Yaris,M,36
210,Raize,M,36
211,Avanza Premio,M,36
212,Veloz Cross,M,36
213,Yaris Cross,M,36
214,Innova Cross,M,36
215,Swift,M,37
216,Ciaz,M,37
217,Ertiga,M,37
218,XL7,M,37
219,Jimny,M,37
220,Morning,S,38
221,Soluto,S,38
222,Cerato,M,38
223,Optima,M,38
224,Sorento,M,38
225,Rondo,M,38
226,Quoris,M,38
227,K3,M,38
228,Carnival,M,38
229,Sonet,M,38
230,K5,M,38
231,Sportage,M,38
232,Carens,M,38
233,Seltos,M,38
234,Range Rover Velar,M,39
235,Range Rover Evoque,M,39
236,Range Rover,M,39
237,Range Rover Sport,M,39
238,Discovery,M,39
239,Discovery Sport,L,39
240,"Defender 90, 110",L,39
241,Defender 130,L,39